,0
cl_0_wing,0.14264717722978246
cl_X_wing,1.095392404798234
cl_alpha_wing,5.458828049090344
cm_0_wing,-0.02752312736600496
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66287, 0.79145, 0.92062, 1.05034, 1.18054, 1.31119, 1.44223, 1.57363, 1.70533, 1.83728, 1.96943, 2.10173, 2.23414, 2.3666, 2.49906, 2.63147, 2.76379, 2.89595, 3.02792, 3.15964, 3.29106, 3.42213, 3.55281, 3.68305, 3.8128, 3.94201, 4.07065, 4.19866, 4.32599, 4.45262, 4.57849, 4.70357, 4.82782, 4.95119, 5.07365, 5.19517, 5.3157, 5.43523, 5.5537, 5.6711, 5.78739]"
area_vector_wing,"[0.06376, 0.06376, 0.06376, 0.06376, 0.06376, 0.06376, 0.06376, 0.06376, 0.06376, 0.12191, 0.12043, 0.11889, 0.11728, 0.1156, 0.11386, 0.11205, 0.11019, 0.10827, 0.10631, 0.10429, 0.10222, 0.10011, 0.09796, 0.09577, 0.09355, 0.0913, 0.08902, 0.08671, 0.08439, 0.08205, 0.07969, 0.07733, 0.07496, 0.07258, 0.07021, 0.06784, 0.06547, 0.06312, 0.06077, 0.05845, 0.05614, 0.05385, 0.05158, 0.04935, 0.04714, 0.04496, 0.04281, 0.0407, 0.03863, 0.03659]"
cl_vector_wing,"[1.0218637586376322, 1.0242492299825372, 1.025953138086041, 1.027637000211856, 1.03253824175664, 1.0301327244340468, 1.0171830228474195, 1.0134043560531791, 1.0163711607510442, 1.0233471609865645, 1.0309546095192659, 1.035865874052894, 1.0457485410532148, 1.0577861506550255, 1.0699540591118097, 1.0793856916141444, 1.0836454618729032, 1.0914834391490198, 1.0974571405001265, 1.1053753016869963, 1.1091740144589246, 1.1168215549470026, 1.123927854037497, 1.129630934689812, 1.1296509806675001, 1.133990934837012, 1.1377796246200966, 1.1423100155776476, 1.142861279964075, 1.1468203605575098, 1.1495566365119596, 1.1539667516033807, 1.1553098321084954, 1.1585773264716845, 1.159980544909864, 1.1637291427375718, 1.1669465221565403, 1.1710659705714814, 1.1773604075656006, 1.1834443617939927, 1.1909515804382527, 1.1892576953235934, 1.184687212410666, 1.182963258329474, 1.1748245913880333, 1.1587777862485673, 1.1225045896216292, 1.0625871623113678, 0.9509912045207273, 0.737702001917455]"
cl_vector_wing_0,"[0.1348392689201984, 0.13502970570823702, 0.1351199126078343, 0.13552083216159982, 0.1361923724141571, 0.1359317747042095, 0.13459871718793906, 0.13439825741105627, 0.13482924593135426, 0.1355909930835088, 0.13607209654802743, 0.13662336093445507, 0.13773591269615446, 0.13887853342438627, 0.13992092426417674, 0.14076285532708438, 0.14142437259079754, 0.14215605077641968, 0.14283761401782108, 0.14355926921459908, 0.14412055658987086, 0.14472193592051916, 0.1454034991619206, 0.14579439572684202, 0.1460449704479455, 0.14628552218020482, 0.14659623483437312, 0.146876878522009, 0.14702722335467108, 0.14742814290843664, 0.1479092463729553, 0.14822998201596774, 0.14817986707174705, 0.14855071765898017, 0.14912202802309607, 0.1494327406772644, 0.14964322344299127, 0.15017444185173065, 0.15115669475845625, 0.15174805110026043, 0.15274032699583015, 0.1524596833081943, 0.15237949939744116, 0.15231936146437633, 0.15201867179905218, 0.1505052004835872, 0.1476486486630077, 0.14160478638999202, 0.13070979751641323, 0.10883963585850252]"
chord_vector_wing,"[0.95442, 0.95442, 0.95442, 0.95442, 0.95442, 0.95442, 0.95442, 0.95442, 0.95442, 0.94651, 0.93066, 0.91474, 0.89875, 0.88271, 0.8666, 0.85045, 0.83426, 0.81802, 0.80176, 0.78547, 0.76917, 0.75285, 0.73652, 0.7202, 0.70388, 0.68757, 0.67128, 0.65501, 0.63878, 0.62258, 0.60642, 0.59032, 0.57426, 0.55827, 0.54235, 0.52649, 0.51071, 0.49502, 0.47941, 0.4639, 0.44848, 0.43317, 0.41796, 0.40287, 0.38789, 0.37303, 0.3583, 0.3437, 0.32923, 0.31489]"
coeff_k_wing,0.0228941661231693
