,0
sweep25_wing,2.0
taper_ratio_wing,0.926176
aspect_ratio_wing,15.162351
dihedral_angle_wing,0.0
twist_angle_wing,0.0
sweep25_htp,10.0
taper_ratio_htp,0.33673
aspect_ratio_htp,4.947907
mach,0.231
area_ratio,0.430147
