,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],name,gamma [rad],alpha [deg],CL_wing [-],CL_htp [-],battery_power [W],motor_input_power [W],powertrain_power_input [W],l_d_ratio,CD_tot,CD0,CD0_flaps,CD_ind_wing,CD_ind_htp,cd_delta_e,rpm [rpm],shaft_power [W]
0,0.0,15.24,0.0,1435.9726081477654,48.57188536923714,48.53635994246368,0.14275907324769094,2,1.2056071592649444,,,2282.7607059629536,1.0,False,,sizing:main_route:climb,0.09449048730982962,8.120685401708531,1.03803412282983,0.16757303643511445,155499.082883592,12445.109933450143,,14.864171548045428,0.08196765798172588,0.03419019813706738,0.0,0.04180841479385629,0.005913876514658416,5.516853614379033e-05,3866.2894799713204,11740.019292137842
1,4.0,33.571018095024534,193.4208431083809,1435.9726081477654,48.61439885938986,48.53609241558194,0.14291358690904926,2,1.205622125013212,,,2282.6553021598943,1.0,False,,sizing:main_route:climb,0.09448311046798367,8.120828513185423,1.0380464384817099,0.1675756865315022,155508.99135702645,12445.902941607348,,14.864180233106882,0.08196837585259034,0.03419019813706738,0.0,0.041808901462064486,0.00591410673109681,5.516952236165975e-05,3869.636045138823,11740.01441047272
2,8.0,51.916652686883076,387.01111692083145,1435.9726081477654,48.657000565923994,48.53582398907069,0.14306845364415918,2,1.2056371739734617,,,2282.547695894503,1.0,False,,sizing:main_route:climb,0.09447561150793107,8.120972927640912,1.0380588126177426,0.16757836135571902,155518.92331585253,12446.697829378729,,14.864196241165907,0.08196908797867879,0.03419019813706738,0.0,0.0418093800963118,0.005914339243019373,5.517050228022642e-05,3872.988576312077,11740.009436572494
3,12.0,70.27691090287325,580.7711751975552,1435.9726081477654,48.69969072561842,48.53555465915414,0.14322367449546555,2,1.2056523082149475,,,2282.4378843512714,1.0,False,,sizing:main_route:climb,0.09446796324896944,8.121118700018963,1.0380712510482393,0.1675810571667085,155528.8788659764,12447.49460524031,,14.864213557192636,0.0819697945758218,0.03419019813706738,0.0,0.04180985113444737,0.005914573801566434,5.517150274063586e-05,3876.347088397492,11740.004373162963
4,16.0,88.6517946183659,774.7013731471689,1435.9726081477654,48.7424695638175,48.53528442211338,0.1433792504647482,2,1.2056675279747429,,,2282.325864755617,1.0,False,,sizing:main_route:climb,0.09446016550220496,8.121265833065433,1.0380837539651364,0.16758377400960636,155538.85811173831,12448.293277542783,,14.864232182748776,0.08197049564682886,0.03419019813706738,0.0,0.04181031457508056,0.00591481041088805,5.517252379286935e-05,3879.7115953937787,11739.999223051467
5,20.0,107.04130567279549,968.8020668864076,1435.9726081477654,48.785337306523715,48.53501327421111,0.14353518255707073,2,1.205682833488142,,,2282.2116343442103,1.0,False,,sizing:main_route:climb,0.09445221807989784,8.121414329500322,1.0380963215579269,0.1675865119302152,155548.86115873442,12449.093854737375,,14.864252119480481,0.08197119119439641,0.03419019813706738,0.0,0.04181077041667525,0.005915049075173253,5.5173565480531116e-05,3883.082111343941,11739.993989125842
6,24.0,125.4454458696578,1163.0736134427548,1435.9726081477654,48.82829418040335,48.53474121169505,0.14369147178080402,2,1.2056982249883408,,,2282.095190364929,1.0,False,,sizing:main_route:climb,0.0944441207951369,8.121564192040902,1.0381089540161377,0.1675892709722031,155558.88811382148,12449.896345376179,,14.864273369046707,0.0819718812211265,0.03419019813706738,0.0,0.04181121865774135,0.005915289798458849,5.5174627858924096e-05,3886.458650335525,11739.988674354616
7,28.0,143.86421697644582,1357.5163707570966,1435.9726081477654,48.87134041278304,48.53446823079203,0.14384811914762105,2,1.2057137027126192,,,2281.9765300771123,1.0,False,,sizing:main_route:climb,0.09443587346169438,8.12171542342378,1.038121651531733,0.16759205118088608,155568.93908512226,12450.700758112616,,14.864295933082756,0.08197256572997219,0.03419019813706738,0.0,0.04181165929702742,0.005915532584900688,5.5175710976710766e-05,3889.841226500677,11739.98328178745
8,32.0,162.2976207245541,1552.1306976863673,1435.9726081477654,48.91447623165512,48.53419432771122,0.14400512567251908,2,1.2057292668932098,,,2281.8556507515123,1.0,False,,sizing:main_route:climb,0.09442747589463364,8.12186802634263,1.0381344142923998,0.16759485260080992,155579.014182031,12451.50710170188,,14.864319813336511,0.08197324472353103,0.03419019813706738,0.0,0.041812092332993295,0.005915777438588164,5.517681488217551e-05,3893.2298540163897,11739.977814555457
9,36.0,180.7456588093024,1746.9169540062067,1435.9726081477654,48.957701865681656,48.53391949864562,0.14416249237383738,2,1.2057449177718431,,,2281.732549670296,1.0,False,,sizing:main_route:climb,0.09441892790879207,8.122022003569679,1.038147242494618,0.16759767527722458,155589.11351521668,12452.315385001177,,14.864345011330268,0.08197391820520568,0.03419019813706738,0.0,0.041812517764831414,0.005916024363677969,5.517793962890227e-05,3896.624547104713,11739.972275871345
