,0
cl_0_wing,0.1427198755362743
cl_X_wing,1.0963772910578733
cl_alpha_wing,5.464054501074147
cm_0_wing,-0.02768204327466219
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66473, 0.7971, 0.93007, 1.06359, 1.19762, 1.33211, 1.46701, 1.60227, 1.73784, 1.87367, 2.0097, 2.1459, 2.2822, 2.41855, 2.5549, 2.69121, 2.82741, 2.96346, 3.09931, 3.2349, 3.37018, 3.50511, 3.63963, 3.77369, 3.90726, 4.04027, 4.17268, 4.30445, 4.43553, 4.56587, 4.69544, 4.82419, 4.95209, 5.07908, 5.20514, 5.33022, 5.45429, 5.57732, 5.69927, 5.8201, 5.9398]"
area_vector_wing,"[0.06702, 0.06702, 0.06702, 0.06702, 0.06702, 0.06702, 0.06702, 0.06702, 0.06702, 0.13179, 0.12997, 0.12806, 0.12609, 0.12404, 0.12191, 0.11972, 0.11747, 0.11516, 0.11278, 0.11036, 0.10788, 0.10535, 0.10279, 0.10018, 0.09754, 0.09486, 0.09216, 0.08944, 0.0867, 0.08394, 0.08117, 0.07839, 0.07562, 0.07284, 0.07007, 0.0673, 0.06455, 0.06182, 0.0591, 0.05641, 0.05374, 0.0511, 0.0485, 0.04592, 0.04339, 0.0409, 0.03845, 0.03604, 0.03369, 0.03138]"
cl_vector_wing,"[0.9790443147304041, 1.009602804934765, 1.0106952534202602, 1.0122086453588826, 1.0163278777216216, 1.0139425314872375, 1.0010135539983473, 0.99557135649721, 0.9986482526903024, 1.007397863037435, 1.0163579451111309, 1.0231231077506662, 1.0339273230475836, 1.0468663229996433, 1.0595748062988004, 1.0709803693858988, 1.076212095160473, 1.0851421098446596, 1.0920475869685706, 1.1008974219474001, 1.1055779122476417, 1.114678308805713, 1.1227463916573073, 1.1296318238548788, 1.1310149237722948, 1.1360462002834755, 1.1393235457399615, 1.1447757657042685, 1.1471611119386529, 1.1527536463873356, 1.1576045185614618, 1.1630767834521083, 1.1665345332456487, 1.1702729120079403, 1.1726181683896457, 1.17847128688074, 1.1830315076229456, 1.188593974682119, 1.1970429111341614, 1.2064339591241533, 1.2165466244623626, 1.2197738576030004, 1.2194832061710796, 1.2223596531007783, 1.2214776763418462, 1.2142915702491843, 1.189295547103997, 1.1407567579732263, 1.0394196328645695, 0.8287975693536984]"
cl_vector_wing_0,"[0.1332085579882459, 0.1336094565150332, 0.13363952390454223, 0.13396024272597207, 0.13457161297932269, 0.13430100647374127, 0.13301813118802194, 0.13263727758757402, 0.1330281536511916, 0.13395022026280237, 0.13460168036883172, 0.13538343249606694, 0.13653601576058036, 0.13774873380411193, 0.13881111490009826, 0.13985345106974517, 0.14061515827064103, 0.14143700025055497, 0.1422087299146205, 0.14301052696819508, 0.14363191968471536, 0.14437358195927186, 0.14512526669699802, 0.1455963224659731, 0.14577672680302736, 0.1462477825720024, 0.14689924267803176, 0.1473201861311584, 0.14745047815236428, 0.14798166870035745, 0.1487333534380836, 0.14909416211219215, 0.14926454398607675, 0.14969550990237307, 0.15036701493474178, 0.1509182504090743, 0.1512089018409951, 0.15191047426287285, 0.1531231923064044, 0.15408534877069388, 0.15538826898275257, 0.15557869578297653, 0.15594952692025477, 0.15611990879413937, 0.15668116673164156, 0.15596957184659413, 0.15400516906533643, 0.14915429689121026, 0.13955277717465472, 0.11900672767680624]"
chord_vector_wing,"[1.00316, 1.00316, 1.00316, 1.00316, 1.00316, 1.00316, 1.00316, 1.00316, 1.00316, 0.994, 0.97564, 0.9572, 0.93868, 0.92009, 0.90143, 0.88272, 0.86396, 0.84516, 0.82632, 0.80745, 0.78856, 0.76965, 0.75074, 0.73183, 0.71292, 0.69403, 0.67516, 0.65632, 0.63751, 0.61874, 0.60003, 0.58137, 0.56277, 0.54425, 0.5258, 0.50743, 0.48916, 0.47097, 0.45289, 0.43492, 0.41706, 0.39932, 0.38171, 0.36422, 0.34687, 0.32966, 0.31259, 0.29568, 0.27891, 0.26231]"
coeff_k_wing,0.022597598959139025
