,0
cl_0_wing,0.1460674754138849
cl_X_wing,1.1226769813340012
cl_alpha_wing,5.595560292157925
cm_0_wing,-0.028323499761193822
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66469, 0.79701, 0.92993, 1.0634, 1.19738, 1.33182, 1.46667, 1.60188, 1.73739, 1.87317, 2.00916, 2.1453, 2.28155, 2.41785, 2.55415, 2.6904, 2.82655, 2.96255, 3.09834, 3.23388, 3.36911, 3.50399, 3.63846, 3.77247, 3.90598, 4.03894, 4.1713, 4.30301, 4.43404, 4.56433, 4.69385, 4.82254, 4.95038, 5.07732, 5.20332, 5.32834, 5.45236, 5.57532, 5.69721, 5.81798, 5.93761]"
area_vector_wing,"[0.06567, 0.06567, 0.06567, 0.06567, 0.06567, 0.06567, 0.06567, 0.06567, 0.06567, 0.129, 0.12705, 0.12501, 0.1229, 0.12071, 0.11845, 0.11613, 0.11374, 0.11129, 0.10879, 0.10623, 0.10362, 0.10096, 0.09826, 0.09553, 0.09276, 0.08997, 0.08714, 0.0843, 0.08144, 0.07857, 0.0757, 0.07281, 0.06993, 0.06705, 0.06418, 0.06133, 0.05849, 0.05567, 0.05287, 0.0501, 0.04736, 0.04465, 0.04198, 0.03935, 0.03676, 0.03422, 0.03172, 0.02928, 0.02688, 0.02454]"
cl_vector_wing,"[1.0000320179306998, 1.0246371813821264, 1.0253587992104372, 1.0271227539018633, 1.031592775449454, 1.028576012028322, 1.0154866664203535, 1.009894128250946, 1.0129209141419155, 1.0225023953067074, 1.0317531349668565, 1.0388590660817492, 1.0513470634994588, 1.065188094345251, 1.0772651704996172, 1.089803280266515, 1.0972199079463745, 1.1070218834475947, 1.1140175673942732, 1.1231380149465329, 1.1289009351031807, 1.1382719444013818, 1.1462698753318248, 1.1542477613225928, 1.157374771911939, 1.1635385908620928, 1.1678983652414698, 1.1745332402739928, 1.1787025877264545, 1.1848664066766081, 1.1910903604457876, 1.1976851455989603, 1.20173422341337, 1.2069258627892718, 1.209712109404138, 1.2164872990143882, 1.223132196516749, 1.2302180826919662, 1.2409421254182498, 1.2519467972999874, 1.2649659856190925, 1.2718413999277194, 1.2765319158117387, 1.283978610901111, 1.289080048048474, 1.286434116011335, 1.2719716920356088, 1.2353495872488423, 1.1458890214779942, 0.9459908605661008]"
cl_vector_wing_0,"[0.135523837144679, 0.13591471346834727, 0.13593475840802258, 0.13626549991266496, 0.1368568256330862, 0.13662630882682028, 0.13529332033841307, 0.13489242154490713, 0.13523318551938718, 0.13628554485234023, 0.1369570503314627, 0.13773880297879923, 0.13900163417834294, 0.1403045552572372, 0.1413869819997032, 0.14260972331989627, 0.14358190289414816, 0.14443381283034823, 0.145125363249146, 0.14585700354729428, 0.14657862137560496, 0.14730023920391563, 0.14808199185125218, 0.14871340745102404, 0.14916441859371818, 0.1497256769046265, 0.15035709250439833, 0.15082814858676782, 0.15122904738027373, 0.15185044051020793, 0.1528025751447845, 0.15331372110650454, 0.15352419297309516, 0.15414558610302934, 0.15476697923296354, 0.15541843977241068, 0.15601978796266958, 0.15682158554968142, 0.15838509084435454, 0.15928711312974286, 0.16103102288149368, 0.16157223625272665, 0.16227380914136205, 0.1629252696808092, 0.16388742678522342, 0.16389744925506106, 0.1630756067283739, 0.15900648397428874, 0.150908328345469, 0.1323066243267939]"
chord_vector_wing,"[0.98296, 0.98296, 0.98296, 0.98296, 0.98296, 0.98296, 0.98296, 0.98296, 0.98296, 0.97335, 0.95408, 0.93471, 0.91527, 0.89576, 0.87617, 0.85653, 0.83684, 0.8171, 0.79732, 0.77751, 0.75768, 0.73783, 0.71798, 0.69812, 0.67828, 0.65844, 0.63863, 0.61885, 0.59911, 0.57941, 0.55976, 0.54018, 0.52065, 0.50121, 0.48184, 0.46256, 0.44337, 0.42428, 0.4053, 0.38643, 0.36769, 0.34906, 0.33057, 0.31221, 0.294, 0.27593, 0.25802, 0.24026, 0.22266, 0.20523]"
coeff_k_wing,0.02171462376275355
cl_0_htp,-0.00846
cl_X_htp,0.22321000000000002
cl_alpha_htp,1.3273713239795784
cl_alpha_htp_isolated,1.8418728550721395
cl_0_htp_isolated,0.0
y_vector_htp,"[0.04501, 0.13525, 0.22548, 0.31572, 0.40595, 0.49619, 0.58642, 0.67665, 0.76689, 0.85712, 0.94736, 1.03759, 1.12782, 1.21806, 1.30829, 1.39852, 1.48876, 1.57899, 1.66923, 1.75946, 1.84969, 1.93992, 2.03016, 2.12039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_htp,"[0.22985228068539307, 0.22486194529545575, 0.22818749838087216, 0.23146090165915903, 0.23371136641298126, 0.23480651236270222, 0.23495895026046557, 0.23586555459979502, 0.23804782345198627, 0.23921116530333822, 0.23954011024061705, 0.23973266337463392, 0.23867362113754112, 0.23835269924751298, 0.2371011038764033, 0.2363509489584626, 0.2345577978979304, 0.23102364558399568, 0.22428829741703046, 0.2161208353158147, 0.20076873440159435, 0.1839724849822474, 0.15352100914220376, 0.09931730191645365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coeff_k_htp,0.2195786077375916
saved_ref_area,7.585956561708164
