,0
sweep25_wing,2.0
taper_ratio_wing,0.921734
aspect_ratio_wing,14.626638
dihedral_angle_wing,0.0
twist_angle_wing,0.0
sweep25_htp,10.0
taper_ratio_htp,0.359286
aspect_ratio_htp,4.79064
mach,0.231
area_ratio,0.43349
