,0
cl_0_wing,0.1479102436878301
cl_X_wing,1.1380086229136315
cl_alpha_wing,5.672845843238168
cm_0_wing,-0.027990063737049046
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.65612, 0.77111, 0.88663, 1.00263, 1.11907, 1.23591, 1.35311, 1.47062, 1.58839, 1.7064, 1.82458, 1.9429, 2.06131, 2.17977, 2.29823, 2.41665, 2.53498, 2.65318, 2.7712, 2.88899, 3.00652, 3.12374, 3.24061, 3.35709, 3.47312, 3.58868, 3.70372, 3.8182, 3.93208, 4.04532, 4.15789, 4.26975, 4.38087, 4.4912, 4.60072, 4.7094, 4.8172, 4.92409, 5.03005, 5.13504, 5.23904]"
area_vector_wing,"[0.04872, 0.04872, 0.04872, 0.04872, 0.04872, 0.04872, 0.04872, 0.04872, 0.04872, 0.08336, 0.08248, 0.08155, 0.08058, 0.07956, 0.0785, 0.0774, 0.07626, 0.07508, 0.07387, 0.07263, 0.07135, 0.07004, 0.0687, 0.06734, 0.06595, 0.06454, 0.06312, 0.06167, 0.06021, 0.05873, 0.05725, 0.05575, 0.05425, 0.05274, 0.05123, 0.04972, 0.04821, 0.0467, 0.0452, 0.04371, 0.04223, 0.04075, 0.03929, 0.03784, 0.03641, 0.035, 0.0336, 0.03223, 0.03087, 0.02954]"
cl_vector_wing,"[1.0826901516740053, 1.0865397879472958, 1.0880235019276263, 1.0894470653411867, 1.091512234800296, 1.0854671028398946, 1.0804545556090477, 1.080374354853354, 1.0813668392050617, 1.0860986837909812, 1.0890360364682576, 1.095662623907437, 1.1058681700694413, 1.1154120599969737, 1.1216777440355326, 1.129026138275954, 1.1357730268486739, 1.1418783093758453, 1.147853265675015, 1.1542893763194222, 1.158590141843489, 1.1646954243706604, 1.1695676202790435, 1.1737280344806467, 1.1744197659985036, 1.1772568677311628, 1.1782293018939471, 1.18055512380906, 1.1816879594832315, 1.1837932293201872, 1.1836228027143383, 1.185768172929141, 1.1896779597692015, 1.191352150544304, 1.1927255884855563, 1.1955426400292923, 1.1982193402505645, 1.2004449112210607, 1.2042544471165042, 1.2074825275331695, 1.2145602442231254, 1.2114524649400003, 1.2039236189992681, 1.1979586877945605, 1.1851566421669775, 1.1633420366183318, 1.1208456611952118, 1.054940690204037, 0.9415468467478185, 0.7207341161345512]"
cl_vector_wing_0,"[0.14215583946681787, 0.1422460653169731, 0.14253679305636222, 0.1427673702289812, 0.14308817325175538, 0.14264706909544086, 0.14207563871112433, 0.1422360402225114, 0.14247664248959205, 0.14295784702375336, 0.1428976964569832, 0.1434992021246848, 0.14465208798777962, 0.14560447196164053, 0.14607565140134013, 0.14669720725796515, 0.14752929009828575, 0.14797039425460026, 0.1486821759613805, 0.14920348087338858, 0.1496546101241648, 0.1501558648472495, 0.15085762145956808, 0.15120849976572734, 0.1511282990100338, 0.15148920241065478, 0.15183005562235236, 0.15199045713373946, 0.15182003052789067, 0.1521107582672798, 0.15242153619559232, 0.15248168676236248, 0.15268218865159633, 0.15293281601313868, 0.1533638950749915, 0.15363457262545724, 0.15389522508146128, 0.15431627904885242, 0.1549879603777859, 0.15523858773932825, 0.15614084624088068, 0.15585011850149155, 0.15547919000640892, 0.1549779352833242, 0.15430625395439074, 0.15217090883404996, 0.14857189992230188, 0.14163453455480976, 0.13072723178048692, 0.10820084452506101]"
chord_vector_wing,"[0.72922, 0.72922, 0.72922, 0.72922, 0.72922, 0.72922, 0.72922, 0.72922, 0.72922, 0.72372, 0.71269, 0.70161, 0.69049, 0.67932, 0.66812, 0.65688, 0.64562, 0.63432, 0.62301, 0.61168, 0.60033, 0.58898, 0.57762, 0.56626, 0.5549, 0.54356, 0.53222, 0.52091, 0.50961, 0.49834, 0.4871, 0.4759, 0.46473, 0.4536, 0.44252, 0.43149, 0.42052, 0.4096, 0.39874, 0.38794, 0.37722, 0.36656, 0.35598, 0.34548, 0.33506, 0.32472, 0.31447, 0.30431, 0.29425, 0.28427]"
coeff_k_wing,0.020205185942631716
