,0
cl_0_wing,0.14334068132251043
cl_X_wing,1.1025466138251103
cl_alpha_wing,5.495845161630949
cm_0_wing,-0.027782154148091102
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66486, 0.79754, 0.93081, 1.06464, 1.19898, 1.33377, 1.46898, 1.60455, 1.74043, 1.87657, 2.01292, 2.14942, 2.28603, 2.4227, 2.55936, 2.69598, 2.83249, 2.96885, 3.10501, 3.24091, 3.3765, 3.51173, 3.64656, 3.78093, 3.9148, 4.04811, 4.18082, 4.31289, 4.44426, 4.5749, 4.70476, 4.8338, 4.96198, 5.08926, 5.21559, 5.34095, 5.46529, 5.58859, 5.7108, 5.83189, 5.95184]"
area_vector_wing,"[0.06576, 0.06576, 0.06576, 0.06576, 0.06576, 0.06576, 0.06576, 0.06576, 0.06576, 0.12953, 0.12755, 0.1255, 0.12337, 0.12117, 0.11889, 0.11655, 0.11414, 0.11168, 0.10915, 0.10657, 0.10394, 0.10127, 0.09855, 0.0958, 0.09301, 0.09019, 0.08735, 0.08449, 0.08161, 0.07872, 0.07582, 0.07292, 0.07002, 0.06713, 0.06424, 0.06136, 0.0585, 0.05566, 0.05285, 0.05006, 0.0473, 0.04458, 0.04189, 0.03925, 0.03664, 0.03408, 0.03157, 0.02911, 0.0267, 0.02435]"
cl_vector_wing,"[0.9806839831300743, 1.0068625497371502, 1.0075941865527382, 1.0093380880035925, 1.0137880434299102, 1.010891563433951, 0.9981530649050104, 0.9927509793762149, 0.9956173921057799, 1.004978334376457, 1.0141688954709014, 1.0211645461185808, 1.033391901118823, 1.046952238262534, 1.058708539422603, 1.0709459168449764, 1.0781821056238081, 1.087823675714163, 1.0946088554970843, 1.103578923304639, 1.1101736770670647, 1.1185323771246072, 1.124375449227182, 1.1318621985592974, 1.1359513467888867, 1.1421151363996642, 1.1462143070513848, 1.1525985899490523, 1.156878164199137, 1.1627613259902372, 1.1686444877813371, 1.1752191966995003, 1.1792281655520385, 1.1843295784168937, 1.187236080834984, 1.1931192426260842, 1.1998442878762172, 1.2066394900812698, 1.21721314542984, 1.2279972716431682, 1.2408861065040793, 1.2476512414427376, 1.2522415107788942, 1.2595378340905141, 1.2647595160209453, 1.2631459060577988, 1.2500666451763922, 1.215940297819159, 1.129967960776473, 0.9361643840226354]"
cl_vector_wing_0,"[0.13303763137148675, 0.13340846099034656, 0.1334184834124779, 0.13374922334281233, 0.1343305238264304, 0.13412005296167212, 0.1328271605067285, 0.13245633088786868, 0.13277704839607174, 0.1338093578756004, 0.13448086015840058, 0.13524256424038286, 0.13648534458466977, 0.13776821461748207, 0.1388205689412734, 0.1400232595970349, 0.14096536727738143, 0.1418072507364145, 0.142458708174952, 0.14317030014627755, 0.14380171274055234, 0.1445333495561406, 0.14530507606025425, 0.14592646623239772, 0.1463774752283083, 0.1469287084455323, 0.1475200313512817, 0.14798106276932363, 0.14836191481031477, 0.14897328256032688, 0.14988532297427937, 0.15040648892510938, 0.15061695978986764, 0.1512483723841424, 0.15188980740054855, 0.15241097335137857, 0.153032363523522, 0.15378404518337296, 0.15533752061373157, 0.15622951618342137, 0.15794335036788157, 0.15848456116297424, 0.1591560634457744, 0.1597874760400492, 0.16079974067531516, 0.16079974067531516, 0.16014828323677766, 0.15633976282686618, 0.1485623632529417, 0.13066231732635777]"
chord_vector_wing,"[0.98436, 0.98436, 0.98436, 0.98436, 0.98436, 0.98436, 0.98436, 0.98436, 0.98436, 0.9747, 0.95534, 0.93589, 0.91636, 0.89675, 0.87708, 0.85735, 0.83756, 0.81773, 0.79787, 0.77797, 0.75805, 0.73811, 0.71816, 0.69822, 0.67828, 0.65836, 0.63846, 0.61859, 0.59875, 0.57897, 0.55923, 0.53955, 0.51994, 0.5004, 0.48095, 0.46158, 0.4423, 0.42313, 0.40406, 0.38511, 0.36628, 0.34757, 0.32899, 0.31055, 0.29225, 0.2741, 0.25611, 0.23827, 0.22059, 0.20308]"
coeff_k_wing,0.021671206141684097
