,0
cl_0_wing,0.14575348578834402
cl_X_wing,1.119080470034396
cl_alpha_wing,5.576752828349514
cm_0_wing,-0.028004073668864888
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66307, 0.79206, 0.92163, 1.05174, 1.18234, 1.3134, 1.44485, 1.57665, 1.70876, 1.84111, 1.97367, 2.10639, 2.2392, 2.37207, 2.50494, 2.63776, 2.77049, 2.90306, 3.03544, 3.16756, 3.29939, 3.43087, 3.56195, 3.6926, 3.82275, 3.95236, 4.08139, 4.2098, 4.33753, 4.46455, 4.59081, 4.71628, 4.84091, 4.96466, 5.08751, 5.2094, 5.33031, 5.4502, 5.56905, 5.68681, 5.80347]"
area_vector_wing,"[0.06127, 0.06127, 0.06127, 0.06127, 0.06127, 0.06127, 0.06127, 0.06127, 0.06127, 0.11755, 0.11622, 0.11483, 0.11337, 0.11185, 0.11027, 0.10863, 0.10693, 0.10518, 0.10338, 0.10154, 0.09964, 0.09771, 0.09573, 0.09372, 0.09168, 0.0896, 0.0875, 0.08538, 0.08323, 0.08107, 0.07889, 0.0767, 0.0745, 0.0723, 0.07009, 0.06789, 0.06569, 0.06349, 0.06131, 0.05914, 0.05698, 0.05484, 0.05272, 0.05063, 0.04856, 0.04651, 0.0445, 0.04251, 0.04056, 0.03864]"
cl_vector_wing,"[1.0531696652933595, 1.0547633115758754, 1.0557255131049417, 1.057599801500102, 1.0632627584159604, 1.0605064519524896, 1.0471258369389123, 1.0441690718235526, 1.0483987493784064, 1.0553245958011641, 1.0595242045582345, 1.0635434005286049, 1.074348121865411, 1.0860549071357166, 1.0982828849009332, 1.1077746020678678, 1.1120543942856937, 1.1191305846973683, 1.1242422803205325, 1.1316893192382014, 1.135718538141166, 1.143235737586996, 1.1500012170882428, 1.1552833025655127, 1.154972591655085, 1.1586710537824334, 1.1620086903363818, 1.1659076111156188, 1.166709445723174, 1.1695659815125894, 1.1721719439871436, 1.175890451979681, 1.1766722407220473, 1.1792280885336295, 1.18001990020859, 1.1828764359980055, 1.1852618939554822, 1.1887999891613195, 1.1942524644926946, 1.1994343206440201, 1.205307759144362, 1.2023309481638134, 1.196216959281205, 1.1918770294678125, 1.1810723081310062, 1.1627102956179927, 1.1210449648229062, 1.0554448709922974, 0.9381264449743792, 0.7217213073278289]"
cl_vector_wing_0,"[0.13874745590483056, 0.13879757056780276, 0.13883766229818054, 0.13921853373676923, 0.1399401848835689, 0.13975977209686902, 0.13843674499440292, 0.13825633220770303, 0.13881761643299168, 0.1395593134449802, 0.1396896115687079, 0.14013062060286327, 0.14133337251419606, 0.14245594096477332, 0.14349832595459505, 0.14435027522512245, 0.14508194930451654, 0.1456733023275885, 0.14619449482249935, 0.14684598544113797, 0.1473872238012377, 0.1479585309591208, 0.14871025090370377, 0.1490710764771036, 0.1492013746008313, 0.14941185618531455, 0.14983281935428103, 0.15005332387135872, 0.15012348439951978, 0.15041414944475856, 0.15097543367004715, 0.15122600698490815, 0.15104559419820826, 0.15137635097382476, 0.15190756640133007, 0.1521380938510022, 0.15225836904213547, 0.15273946980666858, 0.1536014420097904, 0.1541326574372957, 0.15492446911225646, 0.15454359767366774, 0.15432309315659007, 0.15397229051578468, 0.15339096042530717, 0.1517872912101968, 0.14837949412808726, 0.14169419808759587, 0.1301678256039901, 0.10766634192947266]"
chord_vector_wing,"[0.91711, 0.91711, 0.91711, 0.91711, 0.91711, 0.91711, 0.91711, 0.91711, 0.91711, 0.90988, 0.89536, 0.88078, 0.86614, 0.85145, 0.8367, 0.82191, 0.80708, 0.79222, 0.77733, 0.76241, 0.74748, 0.73254, 0.71759, 0.70264, 0.68769, 0.67276, 0.65784, 0.64295, 0.62808, 0.61325, 0.59846, 0.58371, 0.56901, 0.55436, 0.53978, 0.52526, 0.51081, 0.49644, 0.48215, 0.46794, 0.45383, 0.4398, 0.42588, 0.41206, 0.39834, 0.38474, 0.37125, 0.35788, 0.34463, 0.3315]"
coeff_k_wing,0.022335889436082702
cl_0_htp,-0.00696
cl_X_htp,0.21194000000000002
cl_alpha_htp,1.2542046135413722
cl_alpha_htp_isolated,1.7181929420685031
cl_0_htp_isolated,0.0
