,0
cl_0_wing,0.14632008505505265
cl_X_wing,1.1278213433617292
cl_alpha_wing,5.62358796877522
cm_0_wing,-0.02728341358541261
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.66184, 0.78829, 0.91532, 1.04288, 1.17092, 1.2994, 1.42827, 1.55748, 1.68699, 1.81675, 1.94671, 2.07681, 2.20702, 2.33728, 2.46755, 2.59776, 2.72788, 2.85785, 2.98763, 3.11716, 3.2464, 3.3753, 3.50381, 3.63189, 3.75948, 3.88655, 4.01305, 4.13894, 4.26417, 4.38869, 4.51248, 4.63548, 4.75767, 4.879, 4.99943, 5.11893, 5.23747, 5.35502, 5.47153, 5.58699, 5.70136]"
area_vector_wing,"[0.04563, 0.04563, 0.04563, 0.04563, 0.04563, 0.04563, 0.04563, 0.04563, 0.04563, 0.08595, 0.08523, 0.08446, 0.08365, 0.08279, 0.08189, 0.08095, 0.07998, 0.07896, 0.07791, 0.07682, 0.0757, 0.07455, 0.07337, 0.07216, 0.07092, 0.06966, 0.06838, 0.06708, 0.06576, 0.06442, 0.06307, 0.06171, 0.06033, 0.05895, 0.05756, 0.05616, 0.05476, 0.05337, 0.05197, 0.05057, 0.04918, 0.04779, 0.04642, 0.04505, 0.04369, 0.04234, 0.04101, 0.03969, 0.03839, 0.0371]"
cl_vector_wing,"[1.091717428690658, 1.0920782673714347, 1.0924090361621468, 1.0934614823144129, 1.0950050700044034, 1.0866155706763394, 1.0881591583663297, 1.091607172427087, 1.0916572889105285, 1.0962980752771874, 1.0962178889036813, 1.1036150818596089, 1.116074039643102, 1.1239623741367535, 1.1302469811602853, 1.1345870686262969, 1.1373835684023184, 1.1420243547689775, 1.1467052343223894, 1.1515364633261254, 1.156568158263626, 1.1606275934223667, 1.1621010180355393, 1.1646068422076015, 1.1656392417664911, 1.1664310822048627, 1.1662205929744096, 1.1674534584670642, 1.1674133652803111, 1.1677641806643997, 1.1681751358286179, 1.1683154619822533, 1.1687965802232894, 1.1678944835213472, 1.1673131323134287, 1.1682052057186827, 1.1684056716524476, 1.1674634817637521, 1.1696485604417906, 1.1715930799993108, 1.1738683683475433, 1.1670224567094694, 1.1601665217747072, 1.1537215420041635, 1.137894756533419, 1.1154024787649892, 1.0729538172902564, 1.0062588011266504, 0.8882044127324589, 0.6761615712925604]"
cl_vector_wing_0,"[0.142020090775794, 0.14210027714929999, 0.14223058000624722, 0.1424410692367004, 0.14251123231351817, 0.14184969473209377, 0.14208023055592348, 0.14265155846715366, 0.14276181473072438, 0.1431527233015661, 0.1427818613241009, 0.14350353868565477, 0.14510726615577457, 0.14588908329745795, 0.14621985208817015, 0.1464604112086881, 0.14698162263647704, 0.14742264769075997, 0.14787369604173117, 0.1483347676893906, 0.1487457228536088, 0.14929700417146247, 0.14967788944561589, 0.14990842526944562, 0.14966786614892766, 0.14983826219262789, 0.15011891449989884, 0.15020912417009308, 0.15007882131314584, 0.15027928724691084, 0.1505599395541818, 0.1503995668071698, 0.15024921735684607, 0.15029933384028732, 0.15049979977405228, 0.1505198463674288, 0.15050982307074054, 0.15057998614755827, 0.15097089471839997, 0.15097089471839997, 0.15164245559651263, 0.15087066175151748, 0.15053989296080528, 0.14976809911581015, 0.14881588593042652, 0.14671099362589432, 0.14320283978500734, 0.13622662528998633, 0.12469983409850048, 0.10271874446117135]"
chord_vector_wing,"[0.68306, 0.68306, 0.68306, 0.68306, 0.68306, 0.68306, 0.68306, 0.68306, 0.68306, 0.67863, 0.66975, 0.66083, 0.65187, 0.64288, 0.63385, 0.6248, 0.61573, 0.60663, 0.59752, 0.58839, 0.57925, 0.57011, 0.56096, 0.55181, 0.54266, 0.53353, 0.5244, 0.51528, 0.50619, 0.49711, 0.48806, 0.47903, 0.47003, 0.46107, 0.45215, 0.44326, 0.43442, 0.42563, 0.41688, 0.40819, 0.39955, 0.39097, 0.38245, 0.37399, 0.36559, 0.35727, 0.34901, 0.34083, 0.33272, 0.32469]"
coeff_k_wing,0.01817252111096227
cl_0_htp,-0.0044
cl_X_htp,0.19974999999999998
cl_alpha_htp,1.1696933387595754
cl_alpha_htp_isolated,1.5051373997070114
cl_0_htp_isolated,0.0
