,0
cl_0_wing,0.13732513422647122
cl_X_wing,1.0400624764480768
cl_alpha_wing,5.172303971815506
cm_0_wing,-0.026262178954259457
y_vector_wing,"[0.03327, 0.09982, 0.16636, 0.23291, 0.29945, 0.36599, 0.43254, 0.49908, 0.56563, 0.6605, 0.78402, 0.9081, 1.0327, 1.15778, 1.28328, 1.40916, 1.53538, 1.66189, 1.78864, 1.91559, 2.04268, 2.16987, 2.29711, 2.42435, 2.55155, 2.67865, 2.80561, 2.93238, 3.05891, 3.18515, 3.31107, 3.4366, 3.56171, 3.68635, 3.81047, 3.93404, 4.057, 4.17933, 4.30097, 4.42188, 4.54204, 4.66139, 4.77991, 4.89755, 5.01428, 5.13007, 5.24489, 5.3587, 5.47148, 5.5832]"
area_vector_wing,"[0.05091, 0.05091, 0.05091, 0.05091, 0.05091, 0.05091, 0.05091, 0.05091, 0.05091, 0.09421, 0.09452, 0.0948, 0.09504, 0.09525, 0.09542, 0.09556, 0.09566, 0.09572, 0.09575, 0.09574, 0.09569, 0.0956, 0.09548, 0.09533, 0.09513, 0.0949, 0.09464, 0.09434, 0.09401, 0.09364, 0.09324, 0.0928, 0.09234, 0.09184, 0.09131, 0.09075, 0.09016, 0.08955, 0.0889, 0.08823, 0.08753, 0.08681, 0.08607, 0.0853, 0.08451, 0.08369, 0.08286, 0.08201, 0.08114, 0.08026]"
cl_vector_wing,"[1.1187086810569011, 1.1188790845081311, 1.1206532851474074, 1.1231391707888791, 1.1280808708745471, 1.1239210219180518, 1.119059511691786, 1.1205129528934534, 1.124722920512075, 1.1256150326979257, 1.1164433175287856, 1.1143483574519, 1.1198112916236829, 1.1227081502945917, 1.124823157836328, 1.1252842495278912, 1.1244823509338682, 1.123790713396523, 1.1221668687436261, 1.1212146141632235, 1.1189392269026828, 1.1182776605626135, 1.1165235073881878, 1.1146991880867851, 1.1100481762414507, 1.1059885646092082, 1.101237315439621, 1.0972177987370795, 1.0908427049145952, 1.0866728322256747, 1.083124430947122, 1.078593703890891, 1.0699231753430154, 1.0636082239150828, 1.0540556069137814, 1.0473397061888372, 1.0358725562943056, 1.0276130007758668, 1.0172284139832666, 1.0073349900795054, 0.9921490354551912, 0.9768327723093483, 0.9534674520259976, 0.9284883108221752, 0.8917613552159132, 0.8488798279005231, 0.7826029091045066, 0.7037061111850499, 0.5942068581711833, 0.45012572829006686]"
cl_vector_wing_0,"[0.14439186558630057, 0.14441191305115114, 0.1446424588969328, 0.14490307593999033, 0.14545438122338128, 0.14517371671547316, 0.14478279115088688, 0.14509352685607083, 0.14550449988550773, 0.14558468974491007, 0.14444198424842702, 0.14444198424842702, 0.14520378791274902, 0.1456448321394618, 0.14566487960431238, 0.14567490333673766, 0.1458453067879676, 0.14577514066099057, 0.14557466601248475, 0.14550449988550773, 0.1452338591100249, 0.1451436455181973, 0.1449231234048409, 0.14477276741846157, 0.14437181812144997, 0.14391072642988664, 0.14344963473832328, 0.14305870917373703, 0.14250740389034605, 0.14205633593120803, 0.14172555276117343, 0.14129453226688599, 0.14043249127831106, 0.1398110198679431, 0.13886878901996583, 0.13825734134202317, 0.13724494436706886, 0.13644304577304567, 0.1356411471790225, 0.1347490349931717, 0.1335862820318381, 0.13203260350591814, 0.1298975484993314, 0.12750187644968713, 0.12430430580601966, 0.119994100863145, 0.11353881718125834, 0.10470790891457796, 0.09204793486143686, 0.07085776451437409]"
chord_vector_wing,"[0.76204, 0.76204, 0.76204, 0.76204, 0.76204, 0.76204, 0.76204, 0.76204, 0.76204, 0.76151, 0.76044, 0.75937, 0.7583, 0.75722, 0.75614, 0.75505, 0.75396, 0.75287, 0.75178, 0.75068, 0.74959, 0.74849, 0.74739, 0.7463, 0.7452, 0.7441, 0.74301, 0.74191, 0.74082, 0.73973, 0.73865, 0.73757, 0.73649, 0.73541, 0.73434, 0.73328, 0.73222, 0.73116, 0.73011, 0.72907, 0.72803, 0.727, 0.72598, 0.72497, 0.72396, 0.72296, 0.72197, 0.72099, 0.72002, 0.71905]"
coeff_k_wing,0.027923574127304437
cl_0_htp,-0.0048
cl_X_htp,0.24112
cl_alpha_htp,1.4090178097857204
cl_alpha_htp_isolated,1.8237219583134383
cl_0_htp_isolated,0.0
